일자,년,월,일,요일,휴일전날,중식메뉴,석식메뉴
2017-01-02,2017,1,2,0,0,"['쇠고기낙지볶음', '부추깻잎전', '잡곡밥', '쌀밥', '통도라지구이', '포기김치', '사골떡국']","['매운오징어국', '두부부침', '시래기조림', '잡곡밥', '목살간장조림', '쌀밥', '포기김치']"
2017-01-03,2017,1,3,1,0,"['콩나물파채절이', '홍합탕', '언양식불고기', '매운동태찜', '잡곡밥', '쌀밥', '포기김치']","['유부주머니국', '멕시칸샐러드', '피크닉', '참치회덮밥', '수제고로케', '포기김치']"
2017-01-04,2017,1,4,2,0,"['꽈리고추멸치볶음', '황태국', '배추겉절이', '동그랑땡전', '곤드레밥', '비빔메밀국수']","['김가루잔파무침', '닭데리야끼구이', '감자찌개', '잡곡밥', '쌀밥', '새송이버섯볶음', '포기김치']"
2017-01-05,2017,1,5,3,0,"['청경채생채', '잡곡밥', '쌀밥', '굴비구이', '육개장', '포기김치', '두반장감자볶음']","['비빔야채만두', '마파두부덮밥', '류산슬', '팽이장국', '포기김치', '조각티라미수']"
2017-01-06,2017,1,6,4,0,"['된장찌개', '레몬탕수육', '주꾸미초무침', '잡곡밥', '쌀밥', '어묵볶음', '포기김치']","['청포묵무침', '깍두기', '모듬소세지구이', '들깨무채국', '잡곡밥', '쌀밥', '등갈비묵은지찜']"
2017-01-09,2017,1,9,0,0,"['동파육', '콩나물국', '쫑상추무침', '잡곡밥', '쌀밥', '포기김치', '무쌈말이']","['양파치킨', '치킨무', '콩비지찌개', '잡곡밥', '쌀밥', '도토리묵무침', '김자반', '포기김치']"
2017-01-10,2017,1,10,1,0,"['고기전', '두반장가지볶음', '쇠고기미역국', '잡곡밥', '쌀밥', '주꾸미떡볶음', '포기김치']","['딸기드레싱샐러드', '애플망고두유', '김치참치주먹밥', '피클', '가쯔오국', '로제스파게티', '포기김치']"
2017-01-11,2017,1,11,2,0,"['비빔밥', '오복지무침', '생선까스', '팽이장국', '포기김치', '씨리얼과일샐러드']","['메밀전병만두', '제육볶음', '해물된장찌개', '간장깻잎지', '잡곡밥', '쌀밥', '포기김치']"
2017-01-12,2017,1,12,3,0,"['봄동된장무침', '배추겉절이', '모듬버섯구이*초장', '어묵국', '잡곡밥', '쌀밥', '매운닭찜']","['삼치된장구이', '뼈감자탕', '잡곡밥', '쌀밥', '해파리냉채', '포기김치', '아삭고추무침']"
2017-01-13,2017,1,13,4,0,"['미니함박조림', '잡채', '짬뽕국', '잡곡밥', '쌀밥', '치커리유자생채', '포기김치']","['소고기장조림', '시래기국', '애호박나물', '잡곡밥', '쌀밥', '포기김치', '김치전']"
2017-01-16,2017,1,16,0,0,"['얼갈이된장국', '잡곡밥', '쌀밥', '꽃맛살햄볶음', '포기김치', '참나물땅콩무침', '오징어볶음*소면']","['매운돼지갈비찜', '오이생채', '잡곡밥', '쌀밥', '크랜베리멸치볶음', '포기김치', '감자국']"
2017-01-17,2017,1,17,1,0,"['순두부찌개', '잡곡밥', '쌀밥', '삼색묵무침', '쇠고기숙주볶음', '시금치초생채', '포기김치']","['고구마그라탕', '조각사과', '닭강정', '후난식볶음밥', '맑은국', '포기김치']"
2017-01-18,2017,1,18,2,0,"['부추무침', '아욱국', '배추겉절이', '훈제오리구이', '잡곡밥', '쌀밥', '옥수수전', '무쌈']","['쇠고기샤브국', '쫄면무침', '잡곡밥', '쌀밥', '견과류조림', '갈치양념조림', '포기김치']"
2017-01-19,2017,1,19,3,0,"['유자청돈육볶음', '수제비국', '잡곡밥', '쌀밥', '두부새싹구이', '청경채무침', '포기김치']","['단무지무침', '새우튀김우동', '음료', '김밥', '포기김치', '펜네베이컨샐러드']"
2017-01-20,2017,1,20,4,0,"['가자미카레튀김', '닭개장', '잡곡밥', '쌀밥', '비엔나케찹볶음', '파래김*양념장', '포기김치']","['부추호박전', '깍두기', '부대찌개', '도라지나물', '잡곡밥', '쌀밥', '해물청경채볶음']"
2017-01-23,2017,1,23,0,0,"['냉이콩나물국', '새송이버섯전', '닭볶음', '잡곡밥', '쌀밥', '마늘쫑무침', '포기김치']","['세발나물무침', '버섯탕수', '쇠고기매운국', '잡곡밥', '쌀밥', '포기김치', '꽁치한마리구이']"
2017-01-24,2017,1,24,1,0,"['깻잎찜', '잡곡밥', '쌀밥', '감자채볶음', '알탕', '포기김치', '돈육간장불고기']","['쇠고기퀘사디아', '무피클', '잔치국수', '시금치흑임자샐러드', '멸치주먹밥', '포기김치']"
2017-01-25,2017,1,25,2,0,"['카레덮밥', '유린기', '개성감자만두', '오이사과무침', '맑은국', '포기김치']",['없음']
2017-01-26,2017,1,26,3,1,"['콩나물무침', '삼색꼬지전', '잡곡밥', '쌀밥', '배추된장국', '소갈비찜', '포기김치']","['시래기들깨탕', '메추리알곤약조림', '돈육강정', '잡곡밥', '쌀밥', '포기김치', '물파래무침']"
2017-01-31,2017,1,31,1,0,"['양잡피잡채', '언양식불고기*양파채', '잡곡밥', '쌀밥', '진미채무침', '미역국', '포기김치']","['해물까스*탈탈소스', '콘샐러드', '내사랑포도', '피클', '김치볶음밥', '꼬지어묵우동', '포기김치']"
2017-02-01,2017,2,1,2,0,"['닭살겨자채', '시금치된장국', '잡곡밥', '쌀밥', '포기김치', '고추장불고기', '모듬쌈']","['차돌박이찌개', '장어강정', '잡곡밥', '쌀밥', '어묵꽈리고추볶음', '통도라지구이', '포기김치']"
2017-02-02,2017,2,2,3,0,"['스위트칠리미트볼', '굴김치두부국', '치커리생채', '갈치구이', '알타리김치', '잡곡밥', '쌀밥']","['야채튀김', '단무지무침', '쇠고기덮밥', '메쉬드포테이토', '포기김치', '장국']"
2017-02-03,2017,2,3,4,0,"['콩나물국', '소고기낙지볶음', '잡곡밥', '쌀밥', '연두부찜', '무생채', '포기김치']","['깍두기', '소고기무국', '동그랑땡전', '잡곡밥', '쌀밥', '고등어김치말이', '미역줄기볶음']"
2017-02-06,2017,2,6,0,0,"['단배추나물', '닭갈비', '감자전', '잡곡밥', '쌀밥', '포기김치', '냉이된장찌개']","['사골우거지국', '탕수어', '모듬소세지구이', '잡곡밥', '쌀밥', '청경채무침', '포기김치']"
2017-02-07,2017,2,7,1,0,"['실곤약무침', '땅콩멸치볶음', '대구매운탕', '잡곡밥', '쌀밥', '포기김치', '유산슬']","['깍두기', '돈육굴소스볶음', '귤', '시금치나물', '순두부찌개', '잡곡밥', '쌀밥', '해물파전']"
2017-02-08,2017,2,8,2,0,"['닭오븐구이', '물미역무침', '춘권*칠리소스', '콩나물밥', '맑은국', '포기김치']","['쫑상추무침', '열무된장국', '잡곡밥', '쌀밥', '삼겹살구이', '두부찜', '김치볶음']"
2017-02-09,2017,2,9,3,0,"['치커리생채', '수제돈까스', '알타리김치', '잡곡밥', '쌀밥', '배추국', '명태조림']","['유부초밥', '푸실리샐러드', '바나나', '순대오징어볶음', '쌀국수', '포기김치']"
2017-02-10,2017,2,10,4,0,"['김구이', '보름나물', '소고기무국', '굴비구이', '오곡밥', '홍어무침', '포기김치']","['미니함박조림', '콩나물무침', '청국장찌개', '잡곡밥', '쌀밥', '감자채볶음', '포기김치']"
2017-02-13,2017,2,13,0,0,"['쇠고기미역국', '제육볶음', '두부구이*양념장', '도라지오이생채', '잡곡밥', '쌀밥', '포기김치']","['비엔나감자볶음', '고등어구이', '부대찌개', '잡곡밥', '쌀밥', '포기김치', '물파래무침']"
2017-02-14,2017,2,14,1,0,"['된장찌개', '배추겉절이', '주꾸미볶음', '숙주나물', '잡곡밥', '쌀밥', '돈육잡채']","['과일샐러드', '단무지', '포기김치', '음료', '사천식탕수육', '맑은국', '짜장덮밥']"
2017-02-15,2017,2,15,2,0,"['들깨시래기국', '잡곡밥', '쌀밥', '해물김치전', '다시마쌈', '순살파닭', '포기김치']","['오징어국', '시금치나물', '황태양념구이', '잡곡밥', '쌀밥', '돈육장조림', '포기김치']"
2017-02-16,2017,2,16,3,0,"['소불고기', '홍합탕', '오징어초무침', '잡곡밥', '쌀밥', '얼갈이나물', '포기김치']","['가쯔오장국', '치킨텐더', '알타리김치', '오렌지', '떡볶이', '오므라이스']"
2017-02-17,2017,2,17,4,0,"['부추무침', '깍두기', '어묵국', '등갈비김치찜', '잡곡밥', '쌀밥', '동태전']","['콩비지찌개', '세발나물', '고추잡채*꽃빵', '잡곡밥', '쌀밥', '포기김치', '계란말이']"
2017-02-20,2017,2,20,0,0,"['동파육', '치커리유자무침', '열무된장국', '새송이버섯전', '잡곡밥', '쌀밥', '포기김치']","['콩나물냉채', '얼갈이된장국', '잡곡밥', '쌀밥', '호박반달나물', '간장찜닭', '포기김치']"
2017-02-21,2017,2,21,1,0,"['낙지볶음', '취나물', '야채계란찜', '배추겉절이', '버섯들깨탕', '잡곡밥', '쌀밥']","['쇠고기퀘사디아', '꽃맛살샐러드', '날치알김치볶음밥', '음료', '미역장국', '포기김치']"
2017-02-22,2017,2,22,2,0,"['생선까스*탈탈소스', '파스타샐러드', '알타리김치', '마늘쫑볶음', '나물비빔밥', '유부장국']",['없음']
2017-02-23,2017,2,23,3,0,"['콩나물국', '메추리알조림', '돼지갈비찜', '브로컬리초장', '잡곡밥', '쌀밥', '포기김치']","['김치우동', '참치주먹밥', '단호박범벅', '석박지', '오이피클', '케이준샐러드']"
2017-02-24,2017,2,24,4,0,"['톳무침', '수제비국', '깐풍기', '잡곡밥', '쌀밥', '어묵볶음', '포기김치']","['고기전', '쇠고기샤브국', '청경채사과무침', '잡곡밥', '쌀밥', '가자미양념찜', '포기김치']"
2017-02-27,2017,2,27,0,0,"['오이부추무침', '녹두김치전', '양파절임', '봄동된장국', '훈제오리구이', '잡곡밥', '쌀밥', '포기김치']","['연두부*양념장', '짬뽕불고기', '황태국', '풋마늘대무침', '잡곡밥', '쌀밥', '포기김치']"
2017-02-28,2017,2,28,1,1,"['콩나물동태찜', '언양식불고기', '배추겉절이', '잡곡밥', '쌀밥', '돌나물무침', '사골떡국']","['옥수수맛탕', '쫄면야채무침', '꼬치어묵탕', '김밥', '하와이안샐러드', '포기김치']"
2017-03-02,2017,3,2,3,0,"['팝콘치킨*데리마요', '깍두기', '해초무침', '고등어조림', '잡곡밥', '쌀밥', '돈육김치찌개']","['오렌지', '잔치국수', '견과류조림', '음료', '후난식볶음밥', '새우또띠아', '포기김치']"
2017-03-03,2017,3,3,4,0,"['카레덮밥', '무피클', '군만두', '맑은국', '미니채소떡갈비', '포기김치']","['소고기모듬장조림', '양념깻잎지', '해물된장찌개', '잡곡밥', '쌀밥', '비엔나케찹볶음', '포기김치']"
2017-03-06,2017,3,6,0,0,"['순살닭갈비', '어묵국', '동그랑땡전', '잡곡밥', '쌀밥', '포기김치', '치커리사과무침']","['홍어채무침', '모듬묵*양념장', '깍두기', '김치두부국', '잡곡밥', '쌀밥', '쇠불고기']"
2017-03-07,2017,3,7,1,0,"['토란탕', '잡곡밥', '쌀밥', '포기김치', '돈육칠리강정', '봄동달래무침', '꽁치한마리구이']","['락교', '참치야채비빔밥', '딸기생크림와플', '수제고로케', '맑은국', '포기김치', '음료']"
2017-03-08,2017,3,8,2,0,"['오징어볶음', '미소국', '햄감자채볶음', '고추간장지', '포기김치', '곤드레밥*강된장']","['차돌박이찌개', '배추겉절이', '잡곡밥', '쌀밥', '돈육잡채', '무생채', '코다리강정']"
2017-03-09,2017,3,9,3,0,"['아욱국', '마늘치킨', '숙주나물', '잡곡밥', '쌀밥', '골뱅이무침*소면', '석박지']","['봄나물튀김', '스틱단무지', '볶음우동', '김밥볶음밥', '팽이장국', '포기김치']"
2017-03-10,2017,3,10,4,0,"['도라지오이생채', '얼큰순두부찌개', '잡곡밥', '쌀밥', '포기김치', '계란말이', '해물청경채볶음']","['양배추쌈', '궁중떡찜', '제육볶음(빨갛게)', '잡곡밥', '쌀밥', '미역국', '포기김치']"
2017-03-13,2017,3,13,0,0,"['버섯불고기', '오징어국', '야채계란찜', '잡곡밥', '쌀밥', '파래김*양념장', '포기김치']","['모듬소시지구이', '갈치조림', '셀프무쌈말이', '잡곡밥', '쌀밥', '육개장', '포기김치']"
2017-03-14,2017,3,14,1,0,"['미트볼케찹조림', '방풍나물', '잡곡밥', '쌀밥', '동태찌개', '우엉잡채', '포기김치']","['가쯔오장국', '치커리유자무침', '주꾸미볶음', '메추리알조림', '콩나물밥', '포기김치']"
2017-03-15,2017,3,15,2,0,"['양념찜닭', '잡곡밥', '쌀밥', '옥수수전', '건새우마늘쫑볶음', '근대국', '포기김치']","['새싹두부구이', '깍두기', '취나물', '북어계란국', '등갈비김치찜', '잡곡밥', '쌀밥']"
2017-03-16,2017,3,16,3,0,"['콩나물겨자채', '돈육굴소스볶음', '옹심이만두국', '잡곡밥', '쌀밥', '포기김치', '모듬쌈']","['꼬들단무지', '꽃맛살샐러드', '멸치주먹밥', '김치말이국수', '훈제오리냉채', '포기김치']"
2017-03-17,2017,3,17,4,0,"['배추겉절이', '치킨커틀렛', '연근땅콩조림', '시금치나물', '고추장찌개', '잡곡밥', '쌀밥']","['미니함박조림', '열무된장국', '잡곡밥', '쌀밥', '청경채무침', '포기김치', '마파두부']"
2017-03-20,2017,3,20,0,0,"['아욱국', '콩나물불고기', '잡곡밥', '쌀밥', '상추무침', '맛살전', '포기김치']","['비트무생채', '매운버섯국', '브로컬리오징어숙회', '잡곡밥', '쌀밥', '누룽지탕수육', '포기김치']"
2017-03-21,2017,3,21,1,0,"['쇠고기장조림', '부추생채', '잡곡밥', '쌀밥', '굴비구이', '포기김치', '냉이된장찌개']","['마늘빵', '미소장국', '크림새우', '로제파스타', '베이컨김치볶음밥', '오이피클', '포기김치']"
2017-03-22,2017,3,22,2,0,"['깍두기', '유린기', '세발나물', '잡곡밥', '쌀밥', '돈육김치찌개', '비엔나볶음']",['없음']
2017-03-23,2017,3,23,3,0,"['물파래전', '돼지갈비찜', '잡곡밥', '콩가루배추국', '쌀밥', '통도라지구이', '포기김치']","['콘샐러드', '단무지무침', '고구마치즈구이', '짬뽕', '포기김치', '통새우김밥']"
2017-03-24,2017,3,24,4,0,"['대구매운탕', '고추잡채*꽃빵', '잡곡밥', '쌀밥', '올방개묵무침', '김구이', '포기김치']","['카레감자채볶음', '잡곡밥', '쌀밥', '포기김치', '닭강정', '연두부탕', '치커리사과무침']"
2017-03-27,2017,3,27,0,0,"['소고기숙주볶음', '오꼬노미계란말이', '잡곡밥', '쌀밥', '얼갈이나물', '알탕', '포기김치']","['깍두기', '고등어구이', '부대찌개', '잡곡밥', '쌀밥', '취나물된장무침', '해파리냉채']"
2017-03-28,2017,3,28,1,0,"['소고기미역국', '주꾸미볶음', '탕평채', '시금치나물', '잡곡밥', '쌀밥', '포기김치']","['고구마튀김', '해물볶음밥', '멕시칸샐러드', '비빔메밀국수', '음료', '맑은국', '포기김치']"
2017-03-29,2017,3,29,2,0,"['땅콩조림', '언양식불고기', '봄나물비빔밥', '팽이장국', '바나나', '포기김치']","['꽈리고추어묵조림', '우거지탕', '잡곡밥', '쌀밥', '포기김치', '영양부추무침', '돈까스']"
2017-03-30,2017,3,30,3,0,"['쑥갓두부무침', '잡곡밥', '쌀밥', '김치전', '포기김치', '사천식탕수육', '북어콩나물국']","['유부우동', '오징어무침', '핫도그&케찹', '충무김밥', '오렌지', '석박지']"
2017-03-31,2017,3,31,4,0,"['생선커틀렛', '콩나물무침', '쇠고기무국(빨갛게)', '닭가슴살장조림', '잡곡밥', '쌀밥', '포기김치']","['궁중떡볶음', '봄동된장국', '잡곡밥', '쌀밥', '우엉조림', '동태콩나물찜', '포기김치']"
2017-04-03,2017,4,3,0,0,"['오이달래무침', '쌈무', '양파절임', '꽃게탕', '잡곡밥', '쌀밥', '훈제오리(마늘만)', '포기김치']","['고기전', '콩비지찌개', '가자미카레튀김', '잡곡밥', '쌀밥', '포기김치', '아삭고추무침']"
2017-04-04,2017,4,4,1,0,"['된장찌개', '배추겉절이', '잡곡밥', '쌀밥', '도토리묵무침', '쇠불고기', '동태전']","['오징어순대볶음', '무피클', '시금치흑임자샐러드', '참치주먹밥', '쌀국수', '포기김치']"
2017-04-05,2017,4,5,2,0,"['단무지무침', '부추만두', '짜장밥', '맑은계란국', '포기김치', '유산슬']","['유자청돈육볶음', '두부계란부침', '잡곡밥', '쌀밥', '미역장국', '포기김치', '모듬쌈']"
2017-04-06,2017,4,6,3,0,"['마늘치킨', '잡곡밥', '쌀밥', '감자채전', '크래미숙주무침', '근대국', '포기김치']","['쇠고기퀘사디아', '유부주머니국', '오복지무침', '김치볶음밥', '열무김치', '계란', '펜네베이컨샐러드']"
2017-04-07,2017,4,7,4,0,"['참나물생채', '잡곡밥', '쌀밥', '버섯구이*발사믹D', '육개장', '미니채소떡갈비', '포기김치']","['비엔나감자볶음', '순살닭갈비', '매운어묵국', '깻잎찜', '잡곡밥', '쌀밥', '포기김치']"
2017-04-10,2017,4,10,0,0,"['쇠고기낙지볶음', '날치알계란찜', '잡곡밥', '쌀밥', '비름나물', '얼갈이국', '포기김치']","['해초무침', '무채국', '잡곡밥', '쌀밥', '해물김치전', '치즈시즈닝치킨', '포기김치']"
2017-04-11,2017,4,11,1,0,"['김치찌개', '해물누룽지탕', '잡곡밥', '쌀밥', '열무김치', '청경채무침', '우엉잡채']","['땅콩조림', '카레돈까스정식', '미소장국', '블루베리드레싱샐러드', '피클', '잡곡밥', '쌀밥', '포기김치']"
2017-04-12,2017,4,12,2,0,"['들깨미역국', '잡곡밥', '쌀밥', '맛살콩나물냉채', '파채상추무침', '포기김치', '삼겹살오븐구이']","['메밀전병만두', '치커리무침', '삼치구이', '순두부찌개', '잡곡밥', '쌀밥', '포기김치', '과일']"
2017-04-13,2017,4,13,3,0,"['황태국', '매운어묵볶음', '시금치나물', '잡곡밥', '쌀밥', '닭데리야끼조림', '포기김치']","['유부초밥', '시리얼과일샐러드', '잔치국수', '수제핫도그', '오이생채', '음료', '포기김치']"
2017-04-14,2017,4,14,4,0,"['쇠고기샤브국', '머위된장나물', '오징어볶음', '메추리알조림', '잡곡밥', '쌀밥', '포기김치']","['깍두기', '청국장찌개', '황태양념구이', '잡곡밥', '쌀밥', '미역줄기볶음', '돈육장조림']"
2017-04-17,2017,4,17,0,0,"['돈육굴소스볶음', '된장찌개', '방풍나물', '잡곡밥', '쌀밥', '오징어숙회무침', '포기김치']","['쇠고기무국', '동그랑땡계란부침', '고등어조림', '잡곡밥', '쌀밥', '하루나무침', '포기김치']"
2017-04-18,2017,4,18,1,0,"['들깨시래기국', '쇠고기장조림', '도라지생채', '잡곡밥', '쌀밥', '시금치프리타타', '얼갈이겉절이']","['나가사끼짬뽕', '치킨핑거*요거트D', '야채볶음밥', '또띠아칩', '단무지', '방울토마토', '포기김치']"
2017-04-19,2017,4,19,2,0,"['탕수어', '요플레', '쫄면무침', '곤드레밥', '맑은국', '포기김치']","['갈치구이', '석박지', '닭개장', '잡곡밥', '쌀밥', '햄감자채볶음', '양배추쌈*쌈장']"
2017-04-20,2017,4,20,3,0,"['아욱국', '가지나물', '참치야채전', '등갈비김치찜', '잡곡밥', '쌀밥', '열무김치']","['가쯔오장국', '고구마치즈구이', '오렌지', '포기김치', '떡볶이', '오므라이스']"
2017-04-21,2017,4,21,4,0,"['버섯불고기', '부추생채', '잡곡밥', '쌀밥', '브로컬리맛살볶음', '콩나물김치국', '포기김치']","['연두부*양념장', '열무된장국', '돈육강정', '잡곡밥', '쌀밥', '참나물땅콩무침', '포기김치']"
2017-04-24,2017,4,24,0,0,"['언양식불고기', '부대찌개', '아삭고추된장무침', '잡곡밥', '쌀밥', '계란장조림', '포기김치']","['오징어국', '두부오꼬노미야끼', '잡곡밥', '쌀밥', '쇠고기숙주볶음', '오이미역무침', '포기김치']"
2017-04-25,2017,4,25,1,0,"['차돌박이찌개', '잡곡밥', '쌀밥', '도토리묵무침', '닭강정', '콩나물잡채', '포기김치']","['무피클', '꽃맛살샐러드', '바나나', '포기김치', '멸치주먹밥', '토마토스파게티', '양송이스프']"
2017-04-26,2017,4,26,2,0,"['비빔밥', '깍두기', '견과류조림', '맑은국', '하와이안샐러드', '오징어튀김']",['없음']
2017-04-27,2017,4,27,3,0,"['삼치구이', '영양부추생채', '잡곡밥', '쌀밥', '열무김치', '미역국', '매콤함박스테이크']","['크림카레우동', '왕만두', '키위드레싱샐러드', '어묵국', '닭갈비볶음밥', '포기김치']"
2017-04-28,2017,4,28,4,1,"['곤약야채무침', '배추겉절이', '꽃게찌개', '탕수육', '숙주나물', '잡곡밥', '쌀밥']","['치커리무침', '모듬소세지구이', '얼갈이된장국', '잡곡밥', '쌀밥', '주꾸미떡볶음', '포기김치']"
2017-05-02,2017,5,2,1,1,"['쌈무', '양파절임', '부추생채', '훈제오리구이', '잡곡밥', '쌀밥', '올방개묵무침', '열무김치', '참치김치찌개']","['계란찜', '돈육굴소스볶음', '쫑상추무침', '순두부찌개', '잡곡밥', '쌀밥', '포기김치']"
2017-05-04,2017,5,4,3,1,"['들깨미역국', '닭갈비', '잡곡밥', '쌀밥', '무생채', '생선까스*타르소스', '포기김치']","['야채비빔만두', '유부주머니국', '야채볶음밥', '오렌지주스', '스틱단무지', '미니버거', '포기김치']"
2017-05-08,2017,5,8,0,1,"['홍어채무침', '고추장찌개', '잡곡밥', '쌀밥', '쇠불고기', '포기김치', '머위대들깨볶음']","['도라지생채', '잡곡밥', '쌀밥', '꽃맛살볶음', '열무김치', '육개장', '꽁치오븐구이']"
2017-05-10,2017,5,10,2,0,"['잡채', '콩나물무침', '된장찌개', '제육볶음', '잡곡밥', '쌀밥', '포기김치']","['닭오븐구이', '잡곡밥', '쌀밥', '해물김치전', '취나물된장무침', '연두부탕', '포기김치']"
2017-05-11,2017,5,11,3,0,"['낙지볶음', '깍두기', '새송이버섯전', '잡곡밥', '콩가루배추국', '쌀밥', '비름나물']","['단무지', '망고드레싱샐러드', '짜장소스', '포기김치', '사천식탕수육', '맑은국', '볶음밥']"
2017-05-12,2017,5,12,4,0,"['카레감자채볶음', '유린기', '옹심이만두떡국', '잡곡밥', '쌀밥', '마늘쫑무침', '포기김치']","['청국장찌개', '돼지갈비찜', '방풍나물', '잡곡밥', '쌀밥', '포기김치', '계란말이']"
2017-05-15,2017,5,15,0,0,"['치커리유자청무침', '콩비지찌개', '매운어묵볶음', '잡곡밥', '쌀밥', '돈육꽈리고추볶음', '열무김치']","['연근땅콩조림', '셀프무쌈말이', '가자미카레튀김', '닭개장', '잡곡밥', '쌀밥', '포기김치']"
2017-05-16,2017,5,16,1,0,"['쇠고기샤브국', '맛살계란찜', '오징어볶음', '양념깻잎지', '잡곡밥', '쌀밥', '포기김치']","['꼬마김밥*겨자장', '감자만두', '잔치국수', '멕시칸샐러드', '오이피클', '포기김치']"
2017-05-17,2017,5,17,2,0,"['미나리오이무침', '쇠고기장조림', '열무된장국', '잡곡밥', '쌀밥', '동태전', '포기김치']","['비엔나컬리플라워볶음', '차돌박이찌개', '잡곡밥', '쌀밥', '얼갈이나물', '갈치양념조림', '포기김치']"
2017-05-18,2017,5,18,3,0,"['깍두기', '부대찌개', '청경채무침', '고추잡채*꽃빵', '잡곡밥', '쌀밥', '굴비구이']","['양배추샐러드', '옛날돈가스', '고구마범벅', '잡곡밥', '쌀밥', '음료', '포기김치', '옥수수스프']"
2017-05-19,2017,5,19,4,0,"['참나물생채', '콩나물겨자채', '새우살미역국', '잡곡밥', '쌀밥', '순살양념치킨', '포기김치']","['청포묵무침', '잡곡밥', '쌀밥', '배추된장국', '쇠고기숙주볶음', '무생채', '열무김치']"
2017-05-22,2017,5,22,0,0,"['시금치된장국', '제육볶음', '양배추*쌈', '잡곡밥', '쌀밥', '버섯구이*발사믹D', '포기김치']","['코다리조림', '오이무침', '잡곡밥', '쌀밥', '순대야채볶음', '연두부찌개', '바나나', '포기김치']"
2017-05-23,2017,5,23,1,0,"['소고기국', '부추전', '해초무침', '잡곡밥', '쌀밥', '간장찜닭', '포기김치']","['아이스슈', '단무지', '탕수육', '포기김치', '짬뽕', '볶음밥']"
2017-05-24,2017,5,24,2,0,"['고등어구이', '감자프리타타', '고추지', '콩나물밥', '열무김치', '김치국']","['가지나물', '꽃게탕', '잡곡밥', '쌀밥', '해라피겨자채', '모둠장조림', '포기김치']"
2017-05-25,2017,5,25,3,0,"['들깨시래기국', '두부조림', '상추겉절이', '오리불고기', '잡곡밥', '쌀밥', '오이소박이']","['마파두부덮밥', '생과일플레인샐러드', '수제고로케', '유부장국', '포기김치', '쨔샤이무침']"
2017-05-26,2017,5,26,4,0,"['콩나물국', '부추생채', '동그랑땡전', '잡곡밥', '쌀밥', '주꾸미떡볶음', '포기김치']","['깻잎양념찜', '해물까스*칠리소스', '된장찌개', '치즈닭갈비', '잡곡밥', '쌀밥', '포기김치']"
2017-05-29,2017,5,29,0,0,"['계란찜', '소불고기', '황태국', '청경채사과생채', '잡곡밥', '쌀밥', '포기김치']","['고기전', '두반장가지볶음', '임연수엿장조림', '잡곡밥', '쌀밥', '우거지해장국', '포기김치']"
2017-05-30,2017,5,30,1,0,"['얼갈이된장국', '잡곡밥', '쌀밥', '맛살전', '동파삼겹수육', '포기김치', '아삭고추무침']","['바나나와플', '단무지', '쫄면야채무침', '김밥', '맑은국', '포기김치', '오징어튀김']"
2017-05-31,2017,5,31,2,0,"['가쯔오장국', '콥샐러드', '탕수만두', '오이지무침', '열무보리비빔밥', '포기김치']",['없음']
2017-06-01,2017,6,1,3,0,"['깍두기', '오이냉국', '등갈비김치찜', '잡곡밥', '쌀밥', '참나물땅콩무침', '어묵볶음']","['마늘빵', '주먹밥', '샐러드', '피클', '단호박스프', '로제스파게티', '포기김치', '음료']"
2017-06-02,2017,6,2,4,0,"['삼치된장구이', '배추겉절이', '잡곡밥', '쌀밥', '돈육김치찌개', '도토리묵무침', '모듬소세지볶음']","['새알만두국', '도라지채무침', '잡곡밥', '쌀밥', '팝콘치킨*데리야끼소스', '두부새싹구이', '포기김치']"
2017-06-05,2017,6,5,0,1,"['돈육굴소스볶음', '모둠쌈', '잡곡밥', '쌀밥', '씨앗쌈장', '포기김치', '근대국', '계란말이']","['감자고추장찌개', '탕수어', '오이생채', '잡곡밥', '쌀밥', '우엉잡채', '포기김치']"
2017-06-07,2017,6,7,2,0,"['콩나물국', '쌈무', '새송이버섯전', '부추생채', '훈제오리구이', '잡곡밥', '쌀밥', '포기김치']","['취나물', '열무된장국', '돼지갈비찜', '잡곡밥', '쌀밥', '오징어브로컬리', '*초장', '포기김치']"
2017-06-08,2017,6,8,3,0,"['얼갈이된장국', '배추겉절이', '숙주나물', '잡곡밥', '쌀밥', '골뱅이무침*소면', '미니채소떡갈비']","['야채튀김', '옥수수샐러드', '냉모밀국수', '김밥볶음밥', '조각사과', '포기김치']"
2017-06-09,2017,6,9,4,0,"['실곤약초무침', '깐풍기', '호박잎된장찌개', '잡곡밥', '쌀밥', '어묵꽈리고추볶음', '포기김치']","['쇠고기미역국', '시금치나물', '잡곡밥', '쌀밥', '가자미양념찜', '닭살겨자냉채', '포기김치']"
2017-06-12,2017,6,12,0,0,"['홍어채무침', '고구마순나물', '잡곡밥', '쌀밥', '쇠고기숙주볶음', '연두부탕', '포기김치']","['된장찌개', '돈육강정', '옥수수전', '잡곡밥', '쌀밥', '청경채무침', '포기김치']"
2017-06-13,2017,6,13,1,0,"['깍두기', '늙은호박전', '잡곡밥', '쌀밥', '쭈꾸미볶음', '도토리묵냉국', '치커리사과생채']","['락교', '미소장국', '참치회덮밥', '고구마치즈구이', '모둠과일', '포기김치']"
2017-06-14,2017,6,14,2,0,"['가쯔오장국', '파스타샐러드', '견과류조림', '치킨핑거', '포기김치', '곤드레밥*강된장']","['잔멸치볶음', '미트볼케찹조림', '잡곡밥', '쌀밥', '포기김치', '알탕', '머위대나물']"
